S-27C Google 6 WER: 0.3541666666666667, S:17, I:0, D:34
S-27C Kaldi 6 WER: 0.18055555555555555, S:14, I:2, D:10
S-27C Google 7 WER: 0.2127659574468085, S:4, I:0, D:6
S-27C Kaldi 7 WER: 0.06382978723404255, S:1, I:1, D:1
S-27C Google 8 WER: 0.46236559139784944, S:21, I:0, D:22
S-27C Kaldi 8 WER: 0.27956989247311825, S:17, I:3, D:6
S-27C Google 9 WER: 0.3557692307692308, S:10, I:3, D:24
S-27C Kaldi 9 WER: 0.20192307692307693, S:11, I:3, D:7
S-27C Google 10 WER: 0.4146341463414634, S:7, I:0, D:10
S-27C Kaldi 10 WER: 0.3170731707317073, S:7, I:1, D:5
S-27C Google 11 WER: 0.41304347826086957, S:14, I:1, D:23
S-27C Kaldi 11 WER: 0.20652173913043478, S:10, I:0, D:9
S-23C Google 0 WER: 0.29936305732484075, S:25, I:1, D:21
S-23C Kaldi 0 WER: 0.20382165605095542, S:18, I:7, D:7
S-23C Google 1 WER: 0.4358974358974359, S:48, I:1, D:36
S-23C Kaldi 1 WER: 0.3128205128205128, S:41, I:5, D:15
S-23C Google 2 WER: 0.40588235294117647, S:36, I:9, D:24
S-23C Kaldi 2 WER: 0.3411764705882353, S:24, I:18, D:16
S-23C Google 3 WER: 0.568075117370892, S:70, I:1, D:50
S-23C Kaldi 3 WER: 0.41784037558685444, S:61, I:5, D:23
S-23C Google 4 WER: 0.4411134903640257, S:89, I:4, D:113
S-23C Kaldi 4 WER: 0.2569593147751606, S:63, I:11, D:46
S-23C Google 5 WER: 0.3470790378006873, S:36, I:1, D:64
S-23C Kaldi 5 WER: 0.22336769759450173, S:35, I:4, D:26
S-23C Google 6 WER: 0.35, S:3, I:0, D:11
S-23C Kaldi 6 WER: 0.2, S:4, I:1, D:3
S-23C Google 7 WER: 0.32857142857142857, S:16, I:0, D:7
S-23C Kaldi 7 WER: 0.17142857142857143, S:10, I:0, D:2
S-23C Google 8 WER: 0.35714285714285715, S:14, I:1, D:15
S-23C Kaldi 8 WER: 0.30952380952380953, S:11, I:5, D:10
S-23C Google 9 WER: 0.34782608695652173, S:6, I:0, D:2
S-23C Kaldi 9 WER: 0.30434782608695654, S:4, I:2, D:1
S-23C Google 10 WER: 0.6521739130434783, S:13, I:0, D:17
S-23C Kaldi 10 WER: 0.30434782608695654, S:13, I:0, D:1
S-23C Google 11 WER: 0.43356643356643354, S:32, I:1, D:29
S-23C Kaldi 11 WER: 0.21678321678321677, S:19, I:2, D:10
S-6B Google 0 WER: 0.5367647058823529, S:40, I:1, D:32
S-6B Kaldi 0 WER: 0.4485294117647059, S:36, I:9, D:16
S-6B Google 1 WER: 0.4030612244897959, S:43, I:2, D:34
S-6B Kaldi 1 WER: 0.32142857142857145, S:36, I:12, D:15
S-6B Google 2 WER: 0.2939068100358423, S:48, I:1, D:33
S-6B Kaldi 2 WER: 0.13978494623655913, S:22, I:4, D:13
S-6B Google 3 WER: 0.39790575916230364, S:40, I:1, D:35
S-6B Kaldi 3 WER: 0.24083769633507854, S:23, I:10, D:13
S-6B Google 4 WER: 0.24817518248175183, S:57, I:5, D:40
S-6B Kaldi 4 WER: 0.15571776155717762, S:31, I:19, D:14
S-6B Google 5 WER: 0.26105263157894737, S:63, I:7, D:54
S-6B Kaldi 5 WER: 0.09263157894736843, S:22, I:9, D:13
S-5A Google 0 WER: 0.5023584905660378, S:104, I:1, D:108
S-5A Kaldi 0 WER: 0.3632075471698113, S:77, I:38, D:39
S-5A Google 1 WER: 0.4481132075471698, S:44, I:1, D:50
S-5A Kaldi 1 WER: 0.28773584905660377, S:27, I:16, D:18
S-5A Google 2 WER: 0.42507645259938837, S:132, I:10, D:136
S-5A Kaldi 2 WER: 0.2889908256880734, S:98, I:34, D:57
S-5A Google 3 WER: 0.4198250728862974, S:59, I:2, D:83
S-5A Kaldi 3 WER: 0.239067055393586, S:44, I:8, D:30
S-5A Google 4 WER: 0.3980891719745223, S:53, I:3, D:69
S-5A Kaldi 4 WER: 0.21656050955414013, S:36, I:10, D:22
S-5A Google 5 WER: 0.45726495726495725, S:114, I:1, D:99
S-5A Kaldi 5 WER: 0.28846153846153844, S:74, I:18, D:43
S-11C Google 0 WER: 0.24598930481283424, S:18, I:2, D:26
S-11C Kaldi 0 WER: 0.16042780748663102, S:18, I:8, D:4
S-11C Google 1 WER: 0.3546099290780142, S:19, I:0, D:31
S-11C Kaldi 1 WER: 0.23404255319148937, S:12, I:14, D:7
S-11C Google 2 WER: 0.2430939226519337, S:55, I:0, D:33
S-11C Kaldi 2 WER: 0.17679558011049723, S:38, I:10, D:16
S-11C Google 3 WER: 0.2486910994764398, S:37, I:0, D:58
S-11C Kaldi 3 WER: 0.18586387434554974, S:37, I:9, D:25
S-11C Google 4 WER: 0.21708185053380782, S:72, I:2, D:48
S-11C Kaldi 4 WER: 0.09786476868327403, S:28, I:6, D:21
S-11C Google 5 WER: 0.21176470588235294, S:55, I:3, D:50
S-11C Kaldi 5 WER: 0.10392156862745099, S:25, I:8, D:20
S-11C Google 6 WER: 0.26570048309178745, S:30, I:1, D:24
S-11C Kaldi 6 WER: 0.178743961352657, S:19, I:6, D:12
S-11C Google 7 WER: 0.244, S:36, I:1, D:24
S-11C Kaldi 7 WER: 0.12, S:16, I:3, D:11
S-11C Google 8 WER: 0.2549019607843137, S:13, I:1, D:12
S-11C Kaldi 8 WER: 0.17647058823529413, S:10, I:5, D:3
S-16D Google 0 WER: 0.21724137931034482, S:43, I:2, D:18
S-16D Kaldi 0 WER: 0.2103448275862069, S:33, I:18, D:10
S-16D Google 1 WER: 0.18633540372670807, S:45, I:1, D:44
S-16D Kaldi 1 WER: 0.18633540372670807, S:40, I:22, D:28
S-16D Google 2 WER: 0.2116788321167883, S:27, I:2, D:29
S-16D Kaldi 2 WER: 0.22627737226277372, S:31, I:21, D:10
S-16D Google 3 WER: 0.17834394904458598, S:45, I:2, D:37
S-16D Kaldi 3 WER: 0.1592356687898089, S:35, I:27, D:13
S-16D Google 4 WER: 0.19137466307277629, S:37, I:2, D:32
S-16D Kaldi 4 WER: 0.1752021563342318, S:27, I:24, D:14
S-16D Google 5 WER: 0.16104868913857678, S:27, I:1, D:15
S-16D Kaldi 5 WER: 0.23595505617977527, S:29, I:30, D:4
S-16D Google 6 WER: 0.330188679245283, S:15, I:0, D:20
S-16D Kaldi 6 WER: 0.37735849056603776, S:12, I:19, D:9
S-16D Google 7 WER: 0.19148936170212766, S:6, I:1, D:2
S-16D Kaldi 7 WER: 0.3404255319148936, S:6, I:10, D:0
S-16D Google 8 WER: 0.21311475409836064, S:13, I:1, D:12
S-16D Kaldi 8 WER: 0.19672131147540983, S:6, I:11, D:7
S-16D Google 9 WER: 0.2727272727272727, S:2, I:0, D:4
S-16D Kaldi 9 WER: 0.5, S:3, I:7, D:1
S-16D Google 10 WER: 0.2972972972972973, S:7, I:1, D:3
S-16D Kaldi 10 WER: 0.2702702702702703, S:4, I:4, D:2
S-16D Google 11 WER: 0.1527777777777778, S:4, I:0, D:7
S-16D Kaldi 11 WER: 0.25, S:4, I:13, D:1
S-16D Google 12 WER: 0.15384615384615385, S:3, I:0, D:3
S-16D Kaldi 12 WER: 0.28205128205128205, S:3, I:8, D:0
S-20D Google 0 WER: 0.4959677419354839, S:59, I:1, D:63
S-20D Kaldi 0 WER: 0.4032258064516129, S:50, I:14, D:36
S-20D Google 1 WER: 0.4, S:69, I:3, D:48
S-20D Kaldi 1 WER: 0.26666666666666666, S:40, I:9, D:31
S-20D Google 2 WER: 0.45484949832775917, S:55, I:1, D:80
S-20D Kaldi 2 WER: 0.3110367892976589, S:61, I:6, D:26
S-20D Google 3 WER: 0.40540540540540543, S:44, I:3, D:43
S-20D Kaldi 3 WER: 0.3783783783783784, S:54, I:1, D:29
S-20D Google 4 WER: 0.3530239099859353, S:139, I:12, D:100
S-20D Kaldi 4 WER: 0.2812939521800281, S:126, I:29, D:45
S-20D Google 5 WER: 0.385, S:67, I:7, D:80
S-20D Kaldi 5 WER: 0.285, S:59, I:21, D:34
S-20D Google 6 WER: 0.6818181818181818, S:4, I:0, D:11
S-20D Kaldi 6 WER: 1.0, S:12, I:9, D:1
S-20D Google 7 WER: 0.7435897435897436, S:14, I:3, D:12
S-20D Kaldi 7 WER: 0.6410256410256411, S:14, I:8, D:3
S-20D Google 8 WER: 0.47368421052631576, S:6, I:0, D:3
S-20D Kaldi 8 WER: 0.3157894736842105, S:4, I:0, D:2
S-20D Google 9 WER: 0.4794520547945205, S:18, I:5, D:12
